szPrecinctName,Accepted,Wrong Precinct,Wrong Ballot Type,Accepted No Ballot,Total Counted,,CH-PO/MA,Printed Signature,Can Not Identify,Challenged No ballot,CH-VBM Ballot Returned,Not Registered,No Signature,Not Eligible,Signature Miscompares,No address provided,Voted a precinct ballot,Cancellation,NO-COVR Signature,Total Not Counted,,Total
Pct 1122   ,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Pct 1151   ,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Pct 1154   ,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Pct 7015   ,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Pct 7018   ,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Pct 7034   ,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Pct 7036   ,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Pct 7037   ,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Pct 7041   ,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Pct 7046   ,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Pct 7101   ,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Pct 7323   ,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Pct 7545   ,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Pct 7553   ,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Pct 7635   ,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Pct 7648   ,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Pct 7703   ,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Pct 7933   ,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Pct 7954   ,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Pct 7958   ,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Pct 9001   ,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Pct 9136   ,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Pct 9214   ,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Pct 9217   ,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Pct 9227   ,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Pct 9257   ,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Pct 9501   ,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Pct 9502   ,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Pct 9515   ,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Pct 9706   ,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Pct 9709   ,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Pct 9723   ,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Pct 9724   ,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Pct 9727   ,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Pct 9732   ,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Pct 9733   ,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Pct 9739   ,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Pct 9742   ,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Pct 9900   ,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Pct 9901   ,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Pct 9902   ,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Pct 9998   ,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Pct 1103   ,1,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
Pct 1125   ,1,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
Pct 1135   ,1,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
Pct 1145   ,1,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
Pct 7009   ,1,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
Pct 7017   ,1,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
Pct 7024   ,1,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
Pct 7035   ,1,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
Pct 7047   ,1,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
Pct 7204   ,1,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
Pct 7207   ,0,0,1,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
Pct 7209   ,0,1,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
Pct 7319   ,1,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
Pct 7512   ,0,0,1,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
Pct 7524   ,0,1,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
Pct 7551   ,1,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
Pct 7552   ,1,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
Pct 7709   ,1,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
Pct 7825   ,1,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
Pct 7833   ,0,1,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
Pct 7873   ,0,1,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
Pct 7932   ,0,1,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
Pct 9101   ,1,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
Pct 9106   ,1,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
Pct 9133   ,1,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
Pct 9146   ,1,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
Pct 9215   ,1,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
Pct 9229   ,0,0,1,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
Pct 9246   ,0,0,1,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
Pct 9256   ,1,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
Pct 9411   ,1,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
Pct 9451   ,1,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
Pct 9712   ,0,0,1,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
Pct 9717   ,0,0,1,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
Pct 9741   ,1,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
Pct 7514   ,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,0,0,1,,1
Pct 9201   ,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,1
Pct 1107   ,0,2,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2
Pct 1152   ,2,0,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2
Pct 7029   ,2,0,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2
Pct 7042   ,1,0,0,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2
Pct 7043   ,0,1,1,0,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2
Pct 7045   ,1,1,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2
Pct 7206   ,1,0,1,0,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2
Pct 7304   ,1,1,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2
Pct 7324   ,2,0,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2
Pct 7506   ,2,0,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2
Pct 7513   ,0,2,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2
Pct 7522   ,2,0,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2
Pct 7644   ,1,1,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2
Pct 7701   ,1,0,1,0,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2
Pct 7829   ,1,1,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2
Pct 7856   ,1,0,1,0,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2
Pct 7945   ,0,2,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2
Pct 9122   ,2,0,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2
Pct 9123   ,1,1,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2
Pct 9124   ,1,0,1,0,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2
Pct 9138   ,2,0,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2
Pct 9143   ,2,0,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2
Pct 9148   ,0,2,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2
Pct 9205   ,1,1,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2
Pct 9213   ,1,0,1,0,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2
Pct 9258   ,0,0,2,0,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2
Pct 9405   ,2,0,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2
Pct 9413   ,0,2,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2
Pct 9417   ,2,0,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2
Pct 9426   ,1,1,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2
Pct 9444   ,1,1,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2
Pct 9507   ,1,0,1,0,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2
Pct 9516   ,1,1,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2
Pct 9707   ,1,0,1,0,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2
Pct 9716   ,2,0,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2
Pct 9719   ,2,0,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2
Pct 9728   ,2,0,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2
Pct 9729   ,2,0,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2
Pct 9744   ,0,2,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2
Pct 9756   ,2,0,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2
Pct 7048   ,0,1,0,0,1,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,2
Pct 7318   ,0,1,0,0,1,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,2
Pct 7526   ,1,0,0,0,1,,0,0,0,0,0,0,0,0,0,1,0,0,0,1,,2
Pct 7555   ,1,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,2
Pct 7702   ,1,0,0,0,1,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,2
Pct 7835   ,1,0,0,0,1,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,2
Pct 9253   ,0,0,1,0,1,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,2
Pct 9421   ,0,1,0,0,1,,0,0,0,0,1,0,0,0,0,0,0,0,0,1,,2
Pct 9713   ,0,1,0,0,1,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,2
Pct 9244   ,0,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,0,2,,2
Pct 1126   ,3,0,0,0,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3
Pct 1136   ,3,0,0,0,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3
Pct 1144   ,3,0,0,0,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3
Pct 7023   ,2,1,0,0,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3
Pct 7025   ,0,3,0,0,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3
Pct 7038   ,2,1,0,0,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3
Pct 7052   ,2,1,0,0,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3
Pct 7201   ,3,0,0,0,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3
Pct 7313   ,2,1,0,0,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3
Pct 7321   ,1,1,1,0,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3
Pct 7334   ,1,0,1,1,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3
Pct 7337   ,3,0,0,0,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3
Pct 7521   ,0,2,1,0,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3
Pct 7548   ,0,2,1,0,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3
Pct 7629   ,2,0,1,0,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3
Pct 7632   ,2,1,0,0,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3
Pct 7705   ,2,1,0,0,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3
Pct 7802   ,2,1,0,0,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3
Pct 7803   ,1,1,1,0,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3
Pct 7828   ,3,0,0,0,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3
Pct 7851   ,1,1,1,0,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3
Pct 7853   ,2,0,1,0,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3
Pct 7859   ,3,0,0,0,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3
Pct 7931   ,2,1,0,0,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3
Pct 7937   ,2,0,1,0,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3
Pct 7949   ,2,1,0,0,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3
Pct 9107   ,1,2,0,0,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3
Pct 9121   ,3,0,0,0,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3
Pct 9141   ,2,1,0,0,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3
Pct 9142   ,1,2,0,0,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3
Pct 9144   ,3,0,0,0,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3
Pct 9147   ,1,1,1,0,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3
Pct 9209   ,2,1,0,0,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3
Pct 9211   ,3,0,0,0,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3
Pct 9212   ,2,1,0,0,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3
Pct 9216   ,2,0,1,0,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3
Pct 9219   ,3,0,0,0,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3
Pct 9222   ,1,2,0,0,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3
Pct 9226   ,1,2,0,0,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3
Pct 9228   ,3,0,0,0,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3
Pct 9237   ,3,0,0,0,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3
Pct 9406   ,2,1,0,0,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3
Pct 9423   ,1,2,0,0,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3
Pct 9424   ,3,0,0,0,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3
Pct 9425   ,1,2,0,0,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3
Pct 9429   ,0,3,0,0,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3
Pct 9433   ,2,0,1,0,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3
Pct 9436   ,3,0,0,0,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3
Pct 9447   ,3,0,0,0,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3
Pct 9708   ,2,1,0,0,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3
Pct 9718   ,1,2,0,0,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3
Pct 9721   ,2,1,0,0,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3
Pct 9734   ,2,1,0,0,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3
Pct 9736   ,1,2,0,0,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3
Pct 1108   ,1,1,0,0,2,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,3
Pct 7842   ,0,2,0,0,2,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,3
Pct 9103   ,2,0,0,0,2,,0,0,0,0,0,0,0,0,0,1,0,0,0,1,,3
Pct 9401   ,1,0,1,0,2,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,3
Pct 9403   ,2,0,0,0,2,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,,3
Pct 9435   ,2,0,0,0,2,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,3
Pct 9705   ,1,1,0,0,2,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,3
Pct 9752   ,0,2,0,0,2,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,3
Pct 1124   ,1,0,0,0,1,,0,0,0,0,0,2,0,0,0,0,0,0,0,2,,3
Pct 7605   ,1,0,0,0,1,,1,0,0,0,0,0,0,1,0,0,0,0,0,2,,3
Pct 9111   ,1,0,0,0,1,,0,0,0,0,0,2,0,0,0,0,0,0,0,2,,3
Pct 9509   ,1,0,0,0,1,,0,0,0,0,0,1,0,1,0,0,0,0,0,2,,3
Pct 1106   ,3,1,0,0,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4
